date ,index
1/1/1987,63.75
2/1/1987,64.15
3/1/1987,64.49
4/1/1987,64.99
5/1/1987,65.57
6/1/1987,66.24
7/1/1987,66.8
8/1/1987,67.29
9/1/1987,67.64
10/1/1987,67.92
11/1/1987,68.11
12/1/1987,68.36
1/1/1988,68.6
2/1/1988,68.93
3/1/1988,69.33
4/1/1988,69.8
5/1/1988,70.42
6/1/1988,71.08
7/1/1988,71.69
8/1/1988,72.19
9/1/1988,72.58
10/1/1988,72.83
11/1/1988,73.08
12/1/1988,73.29
1/1/1989,73.62
2/1/1989,73.97
3/1/1989,74.41
4/1/1989,74.87
5/1/1989,75.3
6/1/1989,75.7
7/1/1989,76.05
8/1/1989,76.28
9/1/1989,76.43
10/1/1989,76.49
11/1/1989,76.52
12/1/1989,76.5
1/1/1990,76.53
2/1/1990,76.59
3/1/1990,76.79
4/1/1990,77.04
5/1/1990,77.3
6/1/1990,77.5
7/1/1990,77.56
8/1/1990,77.47
9/1/1990,77.22
10/1/1990,76.91
11/1/1990,76.37
12/1/1990,75.97
1/1/1991,75.53
2/1/1991,75.25
3/1/1991,75.14
4/1/1991,75.32
5/1/1991,75.77
6/1/1991,76.26
7/1/1991,76.51
8/1/1991,76.59
9/1/1991,76.58
10/1/1991,76.29
11/1/1991,76.04
12/1/1991,75.84
1/1/1992,75.7
2/1/1992,75.66
3/1/1992,75.82
4/1/1992,76.08
5/1/1992,76.4
6/1/1992,76.61
7/1/1992,76.72
8/1/1992,76.74
9/1/1992,76.64
10/1/1992,76.61
11/1/1992,76.59
12/1/1992,76.47
1/1/1993,76.4
2/1/1993,76.34
3/1/1993,76.39
4/1/1993,76.67
5/1/1993,77.04
6/1/1993,77.52
7/1/1993,77.89
8/1/1993,78.14
9/1/1993,78.21
10/1/1993,78.18
11/1/1993,78.18
12/1/1993,78.13
1/1/1994,78.21
2/1/1994,78.22
3/1/1994,78.36
4/1/1994,78.72
5/1/1994,79.23
6/1/1994,79.72
7/1/1994,80.08
8/1/1994,80.33
9/1/1994,80.35
10/1/1994,80.32
11/1/1994,80.18
12/1/1994,80.09
1/1/1995,80.04
2/1/1995,80.01
3/1/1995,80.1
4/1/1995,80.4
5/1/1995,80.72
6/1/1995,81.09
7/1/1995,81.44
8/1/1995,81.68
9/1/1995,81.76
10/1/1995,81.75
11/1/1995,81.66
12/1/1995,81.54
1/1/1996,81.46
2/1/1996,81.43
3/1/1996,81.7
4/1/1996,82.15
5/1/1996,82.63
6/1/1996,83.08
7/1/1996,83.45
8/1/1996,83.68
9/1/1996,83.74
10/1/1996,83.66
11/1/1996,83.59
12/1/1996,83.52
1/1/1997,83.56
2/1/1997,83.63
3/1/1997,83.94
4/1/1997,84.36
5/1/1997,84.9
6/1/1997,85.44
7/1/1997,85.88
8/1/1997,86.19
9/1/1997,86.35
10/1/1997,86.44
11/1/1997,86.67
12/1/1997,86.89
1/1/1998,87.2
2/1/1998,87.41
3/1/1998,87.92
4/1/1998,88.6
5/1/1998,89.41
6/1/1998,90.23
7/1/1998,90.9
8/1/1998,91.44
9/1/1998,91.79
10/1/1998,92.03
11/1/1998,92.23
12/1/1998,92.48
1/1/1999,92.75
2/1/1999,93.02
3/1/1999,93.65
4/1/1999,94.47
5/1/1999,95.4
6/1/1999,96.4
7/1/1999,97.23
8/1/1999,97.94
9/1/1999,98.44
10/1/1999,98.88
11/1/1999,99.19
12/1/1999,99.59
1/1/2000,100
2/1/2000,100.57
3/1/2000,101.47
4/1/2000,102.54
5/1/2000,103.7
6/1/2000,104.86
7/1/2000,105.72
8/1/2000,106.52
9/1/2000,107.14
10/1/2000,107.73
11/1/2000,108.29
12/1/2000,108.79
1/1/2001,109.22
2/1/2001,109.64
3/1/2001,110.4
4/1/2001,111.25
5/1/2001,112.2
6/1/2001,113.27
7/1/2001,114.23
8/1/2001,114.99
9/1/2001,115.47
10/1/2001,115.68
11/1/2001,115.84
12/1/2001,116.06
1/1/2002,116.44
2/1/2002,116.92
3/1/2002,117.93
4/1/2002,119.21
5/1/2002,120.79
6/1/2002,122.33
7/1/2002,123.69
8/1/2002,124.73
9/1/2002,125.49
10/1/2002,126.13
11/1/2002,126.64
12/1/2002,127.15
1/1/2003,127.65
2/1/2003,128.33
3/1/2003,129.31
4/1/2003,130.49
5/1/2003,131.84
6/1/2003,133.23
7/1/2003,134.65
8/1/2003,135.97
9/1/2003,137.08
10/1/2003,137.98
11/1/2003,138.77
12/1/2003,139.63
1/1/2004,140.71
2/1/2004,142.04
3/1/2004,144.09
4/1/2004,146.18
5/1/2004,148.33
6/1/2004,150.52
7/1/2004,152.34
8/1/2004,153.81
9/1/2004,155.11
10/1/2004,156.3
11/1/2004,157.5
12/1/2004,158.67
1/1/2005,160.14
2/1/2005,161.93
3/1/2005,164.58
4/1/2005,167
5/1/2005,169.54
6/1/2005,172.01
7/1/2005,174.1
8/1/2005,175.92
9/1/2005,177.61
10/1/2005,178.76
11/1/2005,179.68
12/1/2005,180.11
1/1/2006,180.83
2/1/2006,181.5
3/1/2006,182.75
4/1/2006,183.65
5/1/2006,184.38
6/1/2006,184.55
7/1/2006,184.62
8/1/2006,184.42
9/1/2006,184.21
10/1/2006,184.06
11/1/2006,183.64
12/1/2006,183.24
1/1/2007,182.73
2/1/2007,182.48
3/1/2007,182.21
4/1/2007,182.15
5/1/2007,181.9
6/1/2007,181.56
7/1/2007,181.01
8/1/2007,180.25
9/1/2007,179.14
10/1/2007,177.55
11/1/2007,175.19
12/1/2007,173.37
1/1/2008,171.1
2/1/2008,169.21
3/1/2008,167.93
4/1/2008,167.35
5/1/2008,167.04
6/1/2008,166.56
7/1/2008,165.74
8/1/2008,164.31
9/1/2008,161.94
10/1/2008,159.19
11/1/2008,156.1
12/1/2008,152.57
1/1/2009,149.39
2/1/2009,147.65
3/1/2009,146.54
4/1/2009,146.97
5/1/2009,148.2
6/1/2009,149.83
7/1/2009,150.77
8/1/2009,150.69
9/1/2009,149.65
10/1/2009,148.61
11/1/2009,147.97
12/1/2009,146.7
1/1/2010,145
2/1/2010,143.06
3/1/2010,143.6
4/1/2010,145.39
5/1/2010,147.02
6/1/2010,147.69
7/1/2010,147.54
8/1/2010,146.4
9/1/2010,144.58
10/1/2010,143.12
11/1/2010,141.82
12/1/2010,140.63
1/1/2011,139.05
2/1/2011,137.75
3/1/2011,137.79
4/1/2011,139.15
5/1/2011,140.68
6/1/2011,141.93
7/1/2011,142.33
8/1/2011,141.77
9/1/2011,140.15
10/1/2011,138.4
11/1/2011,136.65
12/1/2011,135.16
1/1/2012,134.17
2/1/2012,134.02
3/1/2012,135.9
4/1/2012,138.51
5/1/2012,141.09
6/1/2012,143.21
7/1/2012,144.31
8/1/2012,144.74
9/1/2012,144.39
10/1/2012,144.01
11/1/2012,144.01
12/1/2012,143.91
1/1/2013,144.35
2/1/2013,145.2
3/1/2013,148
4/1/2013,151.02
5/1/2013,153.92
6/1/2013,156.5
7/1/2013,158.36
8/1/2013,159.47
9/1/2013,159.76
10/1/2013,159.65
11/1/2013,159.46
12/1/2013,159.38
1/1/2014,159.47
2/1/2014,159.97
3/1/2014,161.29
4/1/2014,163.08
5/1/2014,164.79
6/1/2014,166.32
7/1/2014,167.24
8/1/2014,167.55
9/1/2014,167.35
10/1/2014,167.02
11/1/2014,166.78
12/1/2014,166.59
1/1/2015,166.32
2/1/2015,166.7
3/1/2015,168.16
4/1/2015,170.05
5/1/2015,171.94
6/1/2015,173.54
7/1/2015,174.59
8/1/2015,175.04
9/1/2015,175.16
10/1/2015,175.17
11/1/2015,175.27
12/1/2015,175.25
1/1/2016,175.19
2/1/2016,175.44
3/1/2016,176.75
4/1/2016,178.65
5/1/2016,180.51
6/1/2016,182.1
7/1/2016,183.22
8/1/2016,183.88
9/1/2016,184.19
10/1/2016,184.28
11/1/2016,184.52
12/1/2016,184.72
1/1/2017,184.95
2/1/2017,185.33
3/1/2017,186.83
4/1/2017,188.84
5/1/2017,190.92
6/1/2017,192.66
7/1/2017,194
8/1/2017,195.05
